market_id,entry_secs,entry_price,side,resolution,win,ep_bin
1383807,41,0.95,DOWN,0,True,0.93-0.96
1383814,34,0.965,UP,1,True,>0.96
1383844,44,0.935,DOWN,0,True,0.93-0.96
1383903,45,0.955,DOWN,0,True,0.93-0.96
1383904,46,0.975,UP,1,True,>0.96
1383911,46,0.99,UP,1,True,>0.96
1383932,47,0.975,DOWN,0,True,>0.96
1383934,44,0.995,DOWN,0,True,>0.96
1383942,32,0.915,UP,1,True,0.90-0.93
1383945,39,0.94,DOWN,0,True,0.93-0.96
1384114,42,0.925,UP,1,True,0.90-0.93
1384132,29,0.995,DOWN,0,True,>0.96
1384139,40,0.995,DOWN,0,True,>0.96
1384147,41,0.97,DOWN,0,True,>0.96
1384149,45,0.945,UP,1,True,0.93-0.96
1384151,42,0.945,UP,1,True,0.93-0.96
1384155,40,0.915,UP,1,True,0.90-0.93
1384369,42,0.945,UP,1,True,0.93-0.96
1384377,41,0.975,UP,1,True,>0.96
1384386,45,0.925,DOWN,0,True,0.90-0.93
1384390,41,0.945,UP,1,True,0.93-0.96
1384469,39,0.91,DOWN,0,True,0.90-0.93
1384565,44,0.945,DOWN,0,True,0.93-0.96
1384566,46,0.945,UP,1,True,0.93-0.96
1384573,42,0.975,DOWN,0,True,>0.96
1384579,41,0.995,UP,1,True,>0.96
1384628,45,0.925,DOWN,0,True,0.90-0.93
1384632,45,0.915,UP,1,True,0.90-0.93
1384637,45,0.915,UP,1,True,0.90-0.93
1384639,44,0.97,DOWN,0,True,>0.96
1384644,43,0.945,UP,1,True,0.93-0.96
1384654,45,0.975,DOWN,0,True,>0.96
1384661,42,0.945,DOWN,0,True,0.93-0.96
1384681,46,0.975,UP,1,True,>0.96
1384707,44,0.95,DOWN,0,True,0.93-0.96
1384708,45,0.975,DOWN,0,True,>0.96
1384710,44,0.96,DOWN,0,True,0.93-0.96
1384714,41,0.915,DOWN,0,True,0.90-0.93
1384729,45,0.975,UP,1,True,>0.96
1384792,44,0.965,DOWN,0,True,>0.96
1384797,36,0.975,DOWN,0,True,>0.96
1384798,44,0.95,UP,1,True,0.93-0.96
1384806,42,0.975,DOWN,0,True,>0.96
1384809,43,0.915,UP,1,True,0.90-0.93
1384812,41,0.925,DOWN,0,True,0.90-0.93
1385007,31,0.975,UP,1,True,>0.96
1385021,41,0.955,DOWN,0,True,0.93-0.96
1385143,46,0.94,UP,1,True,0.93-0.96
1385146,41,0.995,UP,1,True,>0.96
1385155,43,0.925,UP,1,True,0.90-0.93
1385161,42,0.985,UP,1,True,>0.96
1385164,44,0.925,DOWN,0,True,0.90-0.93
1385182,42,0.995,DOWN,0,True,>0.96
1385185,45,0.985,DOWN,0,True,>0.96
1385210,44,0.935,UP,1,True,0.93-0.96
1385211,46,0.945,UP,1,True,0.93-0.96
1385213,23,0.935,DOWN,0,True,0.93-0.96
1385217,44,0.995,UP,1,True,>0.96
1385219,44,0.995,DOWN,0,True,>0.96
1385221,45,0.985,DOWN,0,True,>0.96
1385225,41,0.92,UP,1,True,0.90-0.93
1385232,42,0.975,UP,1,True,>0.96
1385287,41,0.985,DOWN,0,True,>0.96
1385368,40,0.95,DOWN,0,True,0.93-0.96
1385374,42,0.995,DOWN,0,True,>0.96
1385412,41,0.945,UP,1,True,0.93-0.96
1385418,43,0.995,DOWN,0,True,>0.96
1385419,46,0.975,DOWN,0,True,>0.96
1385441,29,0.995,DOWN,0,True,>0.96
1385576,43,0.985,UP,1,True,>0.96
1385591,38,0.995,UP,1,True,>0.96
1385592,39,0.98,DOWN,0,True,>0.96
1385619,32,0.965,DOWN,0,True,>0.96
1385626,43,0.945,DOWN,0,True,0.93-0.96
1385639,42,0.975,UP,1,True,>0.96
1385660,40,0.91,UP,1,True,0.90-0.93
1385662,45,0.985,UP,1,True,>0.96
1385666,46,0.945,UP,1,True,0.93-0.96
1385695,43,0.995,UP,1,True,>0.96
1385749,42,0.925,UP,1,True,0.90-0.93
1385755,43,0.995,DOWN,0,True,>0.96
1385808,42,0.975,DOWN,0,True,>0.96
1385881,29,0.995,UP,1,True,>0.96
1385884,42,0.955,UP,1,True,0.93-0.96
1385885,40,0.995,DOWN,0,True,>0.96
1385890,42,0.945,DOWN,0,True,0.93-0.96
1386129,45,0.985,DOWN,0,True,>0.96
1386143,43,0.905,UP,1,True,0.90-0.93
1386204,46,0.995,DOWN,0,True,>0.96
1386205,38,0.955,UP,1,True,0.93-0.96
1386215,44,0.925,DOWN,0,True,0.90-0.93
1386261,43,0.985,UP,1,True,>0.96
1386266,45,0.985,DOWN,0,True,>0.96
1386271,40,0.91,DOWN,0,True,0.90-0.93
1386276,45,0.98,UP,1,True,>0.96
1386468,46,0.905,UP,1,True,0.90-0.93
1386490,29,0.985,UP,1,True,>0.96
1386495,26,0.975,DOWN,0,True,>0.96
1386507,44,0.9995,UP,1,True,>0.96
1386528,42,0.985,UP,1,True,>0.96
1386542,47,0.985,UP,1,True,>0.96
1386545,40,0.975,DOWN,0,True,>0.96
1386554,46,0.91,UP,1,True,0.90-0.93
1386580,1,0.995,UP,1,True,>0.96
1386587,41,0.915,DOWN,0,True,0.90-0.93
1386607,46,0.995,DOWN,0,True,>0.96
1386620,46,0.995,UP,1,True,>0.96
1386633,44,0.985,DOWN,0,True,>0.96
1386660,46,0.975,DOWN,0,True,>0.96
1386764,41,0.945,DOWN,0,True,0.93-0.96
1386782,43,0.995,DOWN,0,True,>0.96
1386797,44,0.985,UP,1,True,>0.96
1386802,44,0.995,DOWN,0,True,>0.96
1386804,44,0.945,DOWN,0,True,0.93-0.96
1386805,45,0.995,UP,1,True,>0.96
1386857,39,0.995,UP,1,True,>0.96
1386859,45,0.94,DOWN,0,True,0.93-0.96
