market_id,entry_secs,entry_price,side,resolution,win
1906099,60,0.998,UP,1,True
1906356,60,0.96,DOWN,0,True
1906496,60,0.96,UP,1,True
1906535,4,0.96,DOWN,0,True
1906540,60,0.98,UP,1,True
1906676,20,0.95,DOWN,0,True
1906694,60,0.95,DOWN,0,True
1906714,60,0.97,UP,1,True
1906718,60,0.94,UP,1,True
1906753,60,0.98,UP,1,True
1906764,11,0.88,UP,1,True
1906772,51,0.9,DOWN,0,True
1906782,60,0.96,UP,1,True
1906818,60,0.99,UP,1,True
1906956,60,0.89,UP,1,True
1907019,59,0.998,UP,1,True
1907029,29,0.91,DOWN,0,True
1907184,45,0.88,UP,0,False
1907204,60,0.98,DOWN,0,True
1907257,0,0.99,UP,1,True
1907266,60,0.99,DOWN,0,True
1907303,60,0.99,DOWN,0,True
1907307,55,0.88,DOWN,0,True
1907386,60,0.99,UP,1,True
1907395,60,0.99,DOWN,0,True
1907498,10,0.88,UP,1,True
1907644,52,0.9,UP,0,False
1907666,57,0.9,DOWN,0,True
1907674,60,0.99,UP,1,True
1907835,33,0.89,DOWN,0,True
1907837,20,0.89,DOWN,1,False
1907926,59,0.99,DOWN,0,True
1907951,60,0.94,UP,1,True
1907961,9,0.88,DOWN,0,True
1907973,0,0.99,UP,1,True
1907989,60,0.99,DOWN,0,True
1908007,9,0.9,DOWN,1,False
1908146,0,0.99,UP,1,True
1908177,47,0.91,DOWN,0,True
1908182,60,0.991,UP,1,True
1908333,29,0.88,UP,1,True
1908343,16,0.94,DOWN,0,True
1908598,60,0.88,DOWN,1,False
1908627,22,0.9,UP,1,True
1908638,44,0.9,DOWN,0,True
1908653,60,0.96,UP,1,True
1908665,13,0.89,UP,1,True
1908812,3,0.92,UP,1,True
1908959,60,0.93,UP,1,True
1908982,14,0.89,DOWN,0,True
1908991,60,0.92,UP,1,True
1909142,38,0.9,UP,1,True
1909151,60,0.95,UP,1,True
1909224,59,0.94,DOWN,0,True
1909256,4,0.99,DOWN,0,True
1909307,60,0.95,UP,1,True
1909311,43,0.89,UP,1,True
1909332,60,0.91,UP,1,True
1909340,60,0.91,DOWN,0,True
1909456,55,0.89,UP,1,True
1909597,60,0.99,UP,1,True
1909620,49,0.91,DOWN,0,True
1909630,60,0.92,UP,1,True
1909792,47,0.88,DOWN,0,True
1909802,60,0.99,DOWN,0,True
1909853,34,0.9,UP,1,True
1909904,53,0.89,UP,1,True
1909911,0,0.99,UP,1,True
1909953,52,0.88,UP,1,True
1909958,38,0.89,DOWN,0,True
1910225,60,0.88,UP,1,True
